sample_id,B_longum,E_coli,B_bifidum,B_breve,k_pneumoniae,S_salivarius,S_lactarius,E_faecium,S_mitis,S_peroris,S_pneumoniae,S_lutetiensis,k_variicola,B_fragilis,S_equinus,C_sp,P_cumminsii,T_bernardiae,C_simulans,G_SGB61413
sample_1000,13.34091,0.01915,31.83826,38.95223,0.0006,1.90594,0.30067,0,0.00074,0,0.00071,0,0,0,0,0,0,0,0,0
sample_1001,39.28654,3.28603,25.60345,0.00099,0,0.15218,0,0.00347,0.00017,0,0,0,0.00753,0,0,0,0,0,0,0
sample_1002,60.54032,1.55705,6.754,0.00112,0.00646,1.03904,0,0,0.00451,0.00313,0,0,0,1.00E-05,0,0,0,0,0,0
sample_1003,0.00439,0.65869,0.00076,72.22698,0.00616,0.29844,0,0,0.00281,0,0,0,0.01768,11.33806,0,0,0,0,0,0
sample_1004,2.37221,1.24726,0.00056,0.00091,0.19735,0.21838,0,0.24883,0.00474,0,0,8.33727,0.01601,17.17247,0.00896,0,0,0,0,0
sample_1005,10.96032,0.82044,31.72459,0.00657,0,4.46825,0,0,0.03019,0.28498,0.00209,13.31481,0,4.00E-05,0,0,0,0,0,0
sample_1006,8.64557,0.08548,14.45943,60.34936,0.09003,0.69036,0,0,0.00212,0,0,0,0,0,0,0,0,0,0,0
sample_1007,66.84197,4.00E-05,0.00152,1.26552,0,0.0567,3.47789,0,0.01692,0,0.00029,0,0,0,0,0,0,0,0,0
sample_1008,0.00321,2.44138,0.00041,38.51437,0.00262,0.15077,0.02597,0.01586,0.00053,0,0,2.70833,0.006,4.07763,0,0,0,0,0,0
sample_1009,66.39684,0.81281,2.45011,0.20682,0,0.84368,0.07303,0.01555,0.00055,0.00306,0,0,0,0,0,0,0,0,0,0
sample_1010,0.00518,5.94229,0.00074,0.00092,1.93091,0.30847,0,4.49709,0.00226,0,0.00183,22.57622,0,13.43816,0,0,0,0,0,0
sample_1011,70.25386,1.86836,0.00169,0.00111,2.06577,0.27781,0.15696,0,0.0064,0.05139,0,0,0,0,0,0,0,0,0,0
sample_1012,0.0105,0.0866,0.00142,0.00219,0,0.01937,0,0,0.00219,0,0,0,0,0,0,0,0,0,0,0
sample_1013,0.00604,1.71806,0.00097,0.00167,0,0.02788,0,0,0,0,0,0,0.07909,0,0,0,0,0,0,0
sample_1014,0.00392,0.32039,1.15528,59.35765,0.0126,0.00875,0,0,0,0,0,0,0,2.37883,0.00396,0,0,0,0,0
sample_1015,56.19373,0.50462,3.88074,6.12929,0.02378,0.29423,0.06106,0.01803,0.0009,0,0,0,0,0,0,0,0,0,0,0
sample_1016,0.00383,0.56798,77.4284,0.00092,0,0.0111,0,0.00127,0,0,0,0,0,0.96412,0,0,0,0,0,0
sample_1017,61.66752,0.24312,4.83568,0.00071,0,0.33064,0,0.15982,0.00839,0,0.00599,0.42623,0,0,0.1021,0,0,0,0,0
sample_1019,44.53745,1.1103,29.64401,0.0009,0,0.26467,0,0,0.00521,0,0,1.94298,0,0,0,0,0,0,0,0
sample_1023,54.21856,0.55734,26.39594,0.00081,0,0.00852,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sample_1026,59.52011,2.51674,0.00061,1.92325,0.45081,0.8251,0.00269,0,0,0,0,0,0,0,0,0,0,0,0,0
sample_1028,0.04046,12.06448,0.00155,0.00249,3.21822,0.22224,0,0,0.00255,0.00803,0.00011,0.25737,0.00027,0,0,0,0,0,0,0
sample_1030,53.44727,0.05854,0.25433,0.00128,0.00033,7.30079,0,0.05615,0.00321,0,0.00024,9.43958,0,0,0,0,0,0,0,0
sample_1169,2.75358,32.79358,0.00779,0,1.42959,1.96452,0.00053,0.00645,0.00091,0,0.00077,0,0,0,0,0,0,0,0,0
sample_1190,67.96483,0.11097,1.58706,4.4039,0.00017,0.10006,0,0,0.00034,0.00148,0.00014,0,0,0,0,0,0,0,0,0
sample_1361,66.89114,0.94396,0.00011,0,0,0.10598,0,0,0.00023,0.0093,0,0,0.05894,0,0,0,0,0,0,0
sample_1366,71.01228,0,0.00823,0.12515,0,0.38235,0,0,0.00401,0,0,0,0,0,0,0,0,0,0,0
sample_1370,0.00561,3.34923,0.00044,1.00E-05,0,0.16964,0,0,0,0,0,0.2191,0.03668,0,0.02174,0,0,0,0,0
sample_1374,60.29065,0.98563,0.00018,0,0.05799,0.29568,0,0,0.00454,0,0,0,0.01295,0,0,0,0,0,0,0
sample_1376,64.09334,0.16034,0.0002,0.45764,0,0.32895,0,0.01497,0.02203,0.00387,0.0018,0,0.00024,0,0,0,0,0,0,0
sample_1377,0.00516,0.47111,0,0,34.12313,3.20045,0,4.57708,0.00982,0,0,0,0.2314,0,2.96575,0,0,0,0,0
sample_1385,75.14802,0.11444,3.6754,0.16839,0.00072,0.04388,0,0,0.00312,0,0.00033,0,0,0,0.00033,0,0,0,0,0
sample_1387,0.00883,0.5108,0.00034,0,0,0.46499,0,0,0.0029,0,0.00142,5.86498,0.00557,0.00012,0,0,0,0,0,0
sample_1389,5.7143,0.02107,16.39748,0,0.00055,0.12395,0,0.00703,0.00055,0,0,0.84124,0,0,0,0,0,0,0,0
sample_1393,54.26658,1.06405,12.48364,0.12102,0.00045,0.00812,0,0.11583,0,0,0,0,0,0,0,0,0,0,0,0
sample_1401,57.60552,0.2691,15.06363,0,0,0.15301,0,0,0.00491,0.00524,0,0,0,0,0,0,0,0,0,0
sample_1402,64.5218,0.03672,0.53231,0,0,0.67144,0,0,0.00364,0,0.00026,0,0,0,0,0,0,0,0,0
sample_1403,62.95951,0.00136,0.00136,0.26949,9.00E-05,6.65368,0.82167,0,0.00133,0.00025,0.0093,0,0,0,0,0,0,0,0,0
sample_1404,49.46504,8.68163,5.00E-05,0,0.17045,0.98653,0,0.00269,0.01428,0.03983,0.0066,0,0,0,0,0,0,0,0,0
sample_1405,0.01168,0.94032,0.00044,0,0,0.86881,0.01827,0,0.00146,0,0,0.30046,0.01481,38.56773,0,0,0,0,0,0
sample_1406,3.27407,4.36131,9.00E-05,0,0.00439,8.76357,0,0,0.02308,0,0,0,0.0021,0,0,0,0,0,0,0
sample_1407,0.00393,0.78674,0.00059,0.00013,0,24.10266,0,0,0.0043,0.0427,0.0019,21.6333,0,0,0,0,0,0,0,0
sample_1408,0.033,32.52687,3.00E-05,0,51.44384,0.39216,0.33287,0.00132,0,0,0,0,0.00023,0,0,0,0,0,0,0
sample_1409,54.9758,0.13425,21.55243,0.00075,0,0.22614,0,0,0.00278,0,0,1.51737,0,0,0,0,0,0,0,0
sample_1410,72.08479,0,0.06114,0.00014,0,0.33741,2.10839,0,0.01119,0,0.00934,0,0,0,0,0,0,0,0,0
sample_1411,60.97137,0.01215,1.00088,0.21763,9.00E-05,1.9081,0.0464,0.00189,0.01845,0.00076,0.01724,0,0.00153,0,0,0,0,0,0,0
sample_1412,60.39754,0.89425,6.00E-05,0,9.00E-05,0.26232,0,0.68233,0.0137,0,0.00011,0,0,0,0,0,0,0,0,0
sample_1415,46.92429,1.98885,0.00019,16.89475,0,2.35939,0,0.01174,0.00099,0.06083,0,0,0.01127,0,0,0,0,0,0,0
sample_1416,47.3214,0.46398,0,0,0,1.02073,0,0,0.00086,0,0,0.00035,0.03977,0,0.12661,0,0,0,0,0
sample_1417,0.0104,0.78908,0.0002,0,0,0.00658,0.01433,0,0,0,0,0,0.09138,0,0,0,0,0,0,0
sample_1418,65.6873,0.04973,0.01173,0.01782,0.01074,4.216,0.79152,0,0.00467,0,0,0,0.0004,0,0,0,0,0,0,0
sample_1419,65.30331,0.022,5.67855,2.21645,0,0.28263,0,0.00168,0.00995,0.00089,0.00591,0,0,0,0,0,0,0,0,0
sample_1420,25.69095,0.10291,45.45455,2.00E-05,0,0.04586,0,0,0.00027,0.0005,0,0,0.00267,0,0,0,0,0,0,0
sample_1421,71.86459,0.0231,3.23647,0.26706,0.00134,0.85852,0.85352,0.02301,0.00192,0,0.00035,0,0,2.00E-05,0,0,0,0,0,0
sample_1422,0.00457,3.10272,0.00042,55.32874,0,0.53174,0,0,0.00116,0,0.00289,0,0,0,0,0,0,0,0,0
sample_1423,0.01257,7.25842,0.00103,0.00046,2.7718,0.00748,0,0,0.00038,0,0,0.00026,0.1827,0,0,0,0,0,0,0
sample_1424,0.09576,25.98613,0.00026,0,64.16311,0.25355,0,0.6165,0,0,0,0,1.02946,0,0,0,0,0,0,0
sample_1425,69.16382,0.00149,0.98095,0,0,0.1618,0,0.00256,0.00637,0,0.00225,0,0,0,0,0,0,0,0,0
sample_1427,68.22953,0.11098,2.67338,2.66346,0.0155,0.11239,0.2729,0,0.00186,0,0.00077,0,0,0,0,0,0,0,0,0
sample_1428,62.00402,0.34797,0.00035,2.00E-05,0,0.6966,0,0,0.01553,0,0.00111,0,0,1.11558,0.02568,0,0,0,0,0
sample_1429,0.0207,46.82978,0.00508,0.00197,0,1.38402,0,0,0.00123,0,0,0,0.25204,15.0093,0,0,0,0,0,0
sample_1430,0.00695,2.17366,0.00042,0,0,0.36812,0,0,0.00059,0.00156,0,0,3.00E-05,0,0,0,0,0,0,0
sample_1431,46.92074,0.11579,10.03526,2.00E-05,0,1.00962,0,0,0.01088,0,0.00748,0,0,0,0,0,0,0,0,0
sample_1432,0.02651,31.94348,0.00277,0.12389,0,0,0,0,0.00129,0,0,0,0,0,0,0,0,0,0,0
sample_1433,77.21082,0.46319,0.24812,0,0,0.01449,0.09181,0,0.00175,0,0,0,0,0,0,0,0,0,0,0
sample_1434,66.41571,0.01072,2.89078,0.85116,0,0.51599,0.10842,0,0.00019,0.00047,0,0,0,0,0,0,0,0,0,0
sample_1436,0.09808,52.68893,0.01027,0.37639,1.67348,0.49252,8.00E-05,0.71956,0.01494,0.01811,0,0,0.00109,0.00022,0,0,0,0,0,0
sample_1437,54.79985,0.05055,23.27334,0,0,0.14631,0,0.13092,0.00158,0,0,0,0,0,0,0,0,0,0,0
sample_1438,75.54275,0.12751,0.49028,4.00E-05,0,0.1216,0.09795,0,0.00239,0,0,0,0,0,0,0,0,0,0,0
sample_1439,57.18695,0.00126,0.99381,0.12677,0,8.69591,0.588,0,0.00535,5.00E-05,0,0,0.00044,0,0.00063,0,0,0,0,0
sample_1440,60.9972,1.02245,0.01982,0.0004,0.00458,1.45386,0,0,0.00024,0,0,0,0,0,0.00031,0,0,0,0,0
sample_1441,54.63182,0.66262,0.65204,11.24865,0,3.51267,0.57637,0.00068,0.03281,0,0.00283,0,0,0,0,0,0,0,0,0
sample_1442,44.03537,12.29041,0.00026,0.21634,0.00708,0.31714,0,0.21359,0.01563,0,0.00015,0,0,0,0.13574,0,0,0,0,0
sample_1443,55.97776,0.71939,0.00129,0.00022,0.00104,1.42327,0,0,0.01692,0.36043,0.00593,0.00012,0,0.00015,0,0,0,0,0,0
sample_1445,65.08157,0.43324,1.68658,0.14052,0.04289,3.00229,0.54618,0,0.00053,0.01293,0.0007,0,0,0,0,0,0,0,0,0
sample_1446,60.15123,0.00056,2.5381,0.09577,0,0.2468,0,0,0.004,0,0,0,0,0.00646,0,0,0,0,0,0
sample_1447,59.18997,0.72761,19.44608,0.00091,0,0.14341,0,0,0.00016,0,0,4.00E-05,0,4.58262,3.00E-05,0,0,0,0,0
sample_1448,67.01327,0.00019,0.0003,0.56391,0,0.19092,0,0.0779,0.00063,0,0.00033,0,0,0,0,0,0,0,0,0
sample_1449,0.00666,6.50838,0.0005,0,14.50909,0.85089,5.7329,0.00111,0.0335,0.08435,0.01754,2.66638,0,0,0.00179,0,0,0,0,0
sample_1450,56.74777,1.07863,0.00773,0.00114,0.00014,0.02288,0,0,0,0.00127,0,0.0002,0,0.00016,0.00826,0,0,0,0,0
sample_1451,72.13272,0.17617,0.00235,0.51918,0.00549,0.00737,0.0306,0,0,0,0,0,0,0,0,0,0,0,0,0
sample_1452,59.04136,0,0.00056,5.41862,0,8.53346,0,0,0.00174,0.00145,0.00011,0,0,0,0,0,0,0,0,0
sample_1453,71.49559,0.04368,7.73317,0.00011,0.00269,0.03918,0,0,0,0,0.00025,0,0,0.35964,0,0,0,0,0,0
sample_1454,40.19815,3.4938,34.39052,3.00E-05,0,0.37229,0.16879,0,0.01245,0,0.00582,0,0,0,0.00021,0,0,0,0,0
sample_1455,67.53797,0.0087,0.00052,1.40769,0,1.83336,0.02008,0,0.00103,0,0,0.00035,0,0,0,0,0,0,0,0
sample_1456,12.5398,10.86577,1.30556,0.56679,0,1.93129,0,0,0.07111,0,0,0.00421,0,0,0.00197,0,0,0,0,0
sample_1457,0.00349,1.33376,0.00034,3.00E-05,0.06634,0.01396,0,0,0.00205,0,0,6.52866,0,0.44445,0,0,0,0,0,0
sample_1458,62.89245,0.05165,1.99065,0.08276,8.00E-05,2.40679,0,0,0.00771,0.01928,0.00387,0,0,9.00E-05,0,0,0,0,0,0
sample_1461,6.74292,0.01618,0.00035,13.33335,0,0.00484,0,0,0,0,0,0,0.06844,26.32259,0,0,0,0,0,0
sample_1462,7.4035,2.84527,0.00021,0,0.02055,3.01692,0,0,0.00123,0,0,13.75629,0,0,0,0,0,0,0,0
sample_1463,57.84784,0.65831,20.74689,1.00E-05,0,0.07546,0,0,0.00493,0,0,0,0,0,0,0,0,0,0,0
sample_1464,67.00993,2.15236,0.0005,0.00034,0,0.5979,0,0,0.07104,0,0,0,0.0031,0,0,0,0,0,0,0
sample_1465,54.63792,0.38113,9.72194,1.63421,0.02098,0.20032,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sample_1466,0.01201,31.20271,0.00077,0,0.00114,0.07619,2.72056,0.00326,0.02467,0,0.00015,0,0.14186,0,1.63176,0,0,0,0,0
sample_1467,67.67606,0.3422,4.00201,0,0,0.22774,0.20559,0,0.01285,0,0,0,0,0,0,0,0,0,0,0
sample_1470,30.50066,0.62705,0.00027,6.00E-05,0.01271,0.03745,0.0075,0,0.00019,0,0,0,0.01966,0,0,0,0,0,0,0
sample_1471,46.72605,0.15806,30.07702,0.001,0.00015,0.74038,0.53489,0,0.0077,0,0.00248,5.00E-05,0,0.00016,0,0,0,0,0,0
sample_1472,0.00592,13.16606,0.00105,0.00169,1.34192,1.10122,0.04958,0,0.00041,0,0,0,0,0,0,0,0,0,0,0
sample_1474,70.87472,0.14697,0,1.40976,0.03464,0.04642,0,0,0.00052,0,0,0,0,0,0,0,0,0,0,0
sample_1475,53.50685,1.41134,0.07158,0.01906,0.04289,5.67393,0.50052,0,0.00221,0,0.00218,0,0,0,0,0,0,0,0,0
sample_1476,25.01902,0.21205,0.00058,36.10539,0.00039,0.33156,0.01783,0.00083,0,0,0,0,0,0,0,0,0,0,0,0
sample_1478,73.85599,0.01902,0.00106,0.00069,0,0.16424,0.15631,0,0.03038,0.03002,0.00755,0,0,0,0,0,0,0,0,0
sample_1480,60.55167,0.16881,0.0006,0.00084,0.00529,0.53902,0.0273,0.01454,0,0.00073,0,0,0.00499,4.45149,0,0,0,0,0,0
sample_1481,5.69488,6.01359,5.02887,0.00012,0.00349,0.00994,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sample_1482,4.01709,14.00033,26.83306,0.00121,0.11464,11.11997,0,0.95401,0.01275,0,0.00049,0.00342,0,0,0.00866,0,0,0,0,0
sample_1484,67.13401,0.02475,1.12204,0.49762,0,0.072,0,0.00666,0.0001,0,0,0,0,0.02849,0,0,0,0,0,0
sample_1485,0.01826,7.90593,0.00355,0.93519,0.15076,0.87203,0,0.00351,0.00086,0,0,0.0031,0.05911,31.44819,0.01083,0,0,0,0,0
sample_1486,63.9778,0.01203,0.00084,1.90193,0,0.19693,0,0,0.00185,0.00232,0.00135,0,0,0,0,0,0,0,0,0
sample_1488,65.05697,1.95035,4.05209,0.43488,0,0.0762,0,0.07204,0.00826,0,0,0,0,0,0,0,0,0,0,0
sample_1490,65.9059,0.13967,0.00073,0.00136,0,2.9308,1.03011,0,0.01697,0.02558,0.01483,0,0,0,0.07429,0,0,0,0,0
sample_1491,0.00525,1.89023,0.00019,0,0,0.29526,0,0,0.00099,0,0,0,0.00023,15.34053,0.0043,0,0,0,0,0
sample_1492,0.00422,7.41161,0.00071,0.00107,0.0022,0.02546,0,0,0.00248,0,0,0,0,29.88788,0,0,0,0,0,0
sample_1493,45.34938,0,33.43726,0.00079,0.02223,0.84184,0,0,0.00816,0,0.00016,0,0,0,0,0,0,0,0,0
sample_1494,72.19988,0.00051,0.00222,0.26205,0.04949,2.43187,0.23957,0,0.00216,0,0.00315,3.00E-05,0,8.00E-05,0,0,0,0,0,0
sample_1495,28.57801,6.37838,37.19822,0,0,0.187,0,0.01186,0.00181,0,0.00094,0,0,0,0,0,0,0,0,0
sample_1496,0.00714,3.72289,0.00011,0,0.21299,0,0,0,0,0,0,0,0.0124,0,0,0,0,0,0,0
sample_1497,66.63851,0.00028,0.001,0.00253,0.0004,0.66603,0.26348,0,0.00077,0,0,0,0.00621,0,0,0,0,0,0,0
sample_1498,0.00378,19.53238,0.0006,23.83422,0,0.44625,0,0.52653,0.04432,0.01818,0,0,0,0,0.00275,0,0,0,0,0
sample_1499,64.4635,0.50012,1.47978,0.08455,0,0.0038,0.15797,0,0.0081,0,0.00279,0,0,0.00021,0,0,0,0,0,0
sample_1500,35.72469,0.31603,5.26421,28.63466,0,6.11838,0,0,0.00337,0,0,0,0,0,0,0,0,0,0,0
sample_1502,66.52963,0.19488,0.00047,0.65513,0.00717,3.6483,0,0.08819,0.00079,0.03019,0.00027,0,0,0,6.00E-05,0.00084,0.00069,3.00E-05,0,0
sample_1504,58.6961,3.31043,3.94781,0.03403,0,1.59254,0.49323,0,0.00287,0,0,0,0,0.01592,0.0003,0,0,0,9.00E-05,0
sample_1505,11.95095,1.0523,54.05862,6.00E-05,0.18697,0.02839,0,0.00258,0,0,0,0,0,10.04277,0,0,0,0,0,0
sample_1506,4.57947,0.00311,13.16909,74.90593,0.01725,0.04337,0.00086,4.00E-05,0,0,0,0,0,0,0,0,0,0,0,0
sample_1508,70.72113,0.00359,2.81661,0.04068,0,0.10607,0.0022,0,0,0,0,0,0,0,0,0,0,0,0,7.00E-05